,age,gender,city,position,experience,germany_experience,work_level,main_tech,other_tech,yearly_salary,vacation_days,emp_state,contract_duration,main_language,company_size,company_type,covid_lost
491,37,Male,Malta,Software Architect,18.0,"<bound method NDFrame._add_numeric_operations.<locals>.median of 0       3.0
1       4.0
2       6.0
3       1.0
4       6.0
       ... 
1248    5.0
1249    1.5
1250    2.0
1251    7.0
1252    2.0
Name: germany_experience, Length: 1236, dtype: object>",Head,Go,"Google Cloud, Kubernetes, Docker, Shell",156000.0,0.0,freelancer,Unlimited contract,English,11-50,Startup,No
492,23,Male,Berlin,Software Engineer,5.0,0.0,Middle,Python,"Python, C/C++, Javascript / Typescript, SQL, Docker",53000.0,30.0,full-time,Unlimited contract,English,101-1000,Product,No
493,35,Male,Munich,Backend Developer,14.0,2.5,Senior,Java,"Kotlin, Java / Scala, SQL, Kubernetes, Docker",77000.0,30.0,full-time,Unlimited contract,English,101-1000,Startup,No
494,39,Male,Berlin,Manager,11.0,9.0,Head,Python ,"Python, Kotlin, Java / Scala, AWS",180000.0,28.0,full-time,Unlimited contract,English,1000+,Product,No
495,33,Male,Lübeck,Software Engineer,10.0,1.0,Middle,C#,"Javascript / Typescript, .NET",55000.0,27.0,full-time,Unlimited contract,German,101-1000,Product,No
497,38,Male,Berlin,Data Scientist,15.0,2.0,Head,Python,"Python, SQL, SAP / ABAP, AWS",100000.0,27.0,full-time,Unlimited contract,English,101-1000,Startup,No
498,31,Male,Hamburg,ML Engineer,3.0,3.0,Lead,Python ,"Kubernetes, Docker",70000.0,30.0,full-time,Unlimited contract,English,11-50,Startup,No
500,26,Female,Berlin,Data Scientist,2.0,1.0,Junior,Python,"R, SQL, AWS, Docker",47000.0,25.0,full-time,Unlimited contract,English,11-50,Consulting / Agency,No
501,30,Male,Berlin,Software Engineer,10.0,4.0,Senior,Java,"PHP, Java / Scala",70000.0,27.0,full-time,Unlimited contract,English,11-50,Startup,No
502,33,Male,Munich,Software Engineer,9.0,9.0,Lead,Java,"Python, Kotlin, Javascript / Typescript, SQL, AWS, Docker",100000.0,29.0,full-time,Unlimited contract,German,51-100,Product,No
503,33,Male,Munich,Software Engineer,11.0,1.0,Senior,Python,"Python, Javascript / Typescript, SQL, AWS",65000.0,28.0,full-time,Unlimited contract,English,51-100,Startup,No
